feature,mode,gain,median_relative_difference_percent,abs_dev,series
average,GI,0.25,0.0,0.0,GI average
average,GI,0.5,0.0,0.0,GI average
average,GI,1.3,0.0,0.0,GI average
average,GI,2.0,0.0,0.0,GI average
average,GI,4.0,0.0,0.0,GI average
average,GI,7.1,0.0,0.0,GI average
average,frozen,0.25,-5.560977631568827,5.560977631568827,frozen average
average,frozen,0.5,-1.707533746853859,1.707533746853859,frozen average
average,frozen,1.3,0.8755830784594242,0.8755830784594242,frozen average
average,frozen,2.0,2.119631750643602,2.119631750643602,frozen average
average,frozen,4.0,4.6204039089956925,4.6204039089956925,frozen average
average,frozen,7.1,6.9841862434822115,6.9841862434822115,frozen average
sd,GI,0.25,0.0,0.0,GI sd
sd,GI,0.5,0.0,0.0,GI sd
sd,GI,1.3,0.0,0.0,GI sd
sd,GI,2.0,0.0,0.0,GI sd
sd,GI,4.0,0.0,0.0,GI sd
sd,GI,7.1,0.0,0.0,GI sd
sd,frozen,0.25,-6.0501199737111655,6.0501199737111655,frozen sd
sd,frozen,0.5,-2.1645450436985074,2.1645450436985074,frozen sd
sd,frozen,1.3,1.4750104990918709,1.4750104990918709,frozen sd
sd,frozen,2.0,3.440072877562524,3.440072877562524,frozen sd
sd,frozen,4.0,7.493916092972427,7.493916092972427,frozen sd
sd,frozen,7.1,11.745891640737714,11.745891640737714,frozen sd
total,GI,0.25,0.0,0.0,GI total
total,GI,0.5,0.0,0.0,GI total
total,GI,1.3,0.0,0.0,GI total
total,GI,2.0,0.0,0.0,GI total
total,GI,4.0,0.0,0.0,GI total
total,GI,7.1,0.0,0.0,GI total
total,frozen,0.25,-75.44333258815831,75.44333258815831,frozen total
total,frozen,0.5,-50.38553751241726,50.38553751241726,frozen total
total,frozen,1.3,30.68640201808032,30.68640201808032,frozen total
total,frozen,2.0,102.26942690936532,102.26942690936532,frozen total
total,frozen,4.0,309.1764307593187,309.1764307593187,frozen total
total,frozen,7.1,630.6385670280724,630.6385670280724,frozen total
total,unrounded,0.25,,0.0,unrounded total
total,unrounded,0.5,,0.0,unrounded total
total,unrounded,1.3,,0.0,unrounded total
total,unrounded,2.0,,0.0,unrounded total
total,unrounded,4.0,,0.0,unrounded total
total,unrounded,7.1,,0.0,unrounded total
