feature,mode,gain,n_windows,median_relative_difference_percent,max_abs_relative_difference_percent,n_invariance_pass,proportion_invariance_pass
average,GI,0.25,60,0.0,0.0,60,1.0
average,GI,0.5,60,0.0,0.0,60,1.0
average,GI,1.3,60,0.0,0.0,60,1.0
average,GI,2.0,60,0.0,0.0,60,1.0
average,GI,4.0,60,0.0,0.0,60,1.0
average,GI,7.1,60,0.0,0.0,60,1.0
average,frozen,0.25,60,-5.560977631568827,16.9106867719971,0,0.0
average,frozen,0.5,60,-1.707533746853859,5.241998378913772,0,0.0
average,frozen,1.3,60,0.8755830784594242,2.707582763035029,0,0.0
average,frozen,2.0,60,2.119631750643602,9.475663767679436,0,0.0
average,frozen,4.0,60,4.6204039089956925,22.03758958033028,0,0.0
average,frozen,7.1,60,6.9841862434822115,31.633583426810503,0,0.0
sd,GI,0.25,60,0.0,0.0,60,1.0
sd,GI,0.5,60,0.0,0.0,60,1.0
sd,GI,1.3,60,0.0,0.0,60,1.0
sd,GI,2.0,60,0.0,0.0,60,1.0
sd,GI,4.0,60,0.0,0.0,60,1.0
sd,GI,7.1,60,0.0,0.0,60,1.0
sd,frozen,0.25,60,-6.0501199737111655,27.182177206856693,0,0.0
sd,frozen,0.5,60,-2.1645450436985074,7.784825881978914,0,0.0
sd,frozen,1.3,60,1.4750104990918707,3.665081770307276,0,0.0
sd,frozen,2.0,60,3.440072877562524,9.593204674142367,0,0.0
sd,frozen,4.0,60,7.493916092972427,16.99040940180011,0,0.0
sd,frozen,7.1,60,11.745891640737714,47.75341218692486,0,0.0
total,GI,0.25,60,0.0,0.0,60,1.0
total,GI,0.5,60,0.0,0.0,60,1.0
total,GI,1.3,60,0.0,0.0,60,1.0
total,GI,2.0,60,0.0,0.0,60,1.0
total,GI,4.0,60,0.0,0.0,60,1.0
total,GI,7.1,60,0.0,0.0,60,1.0
total,frozen,0.25,60,-75.44333258815831,77.79158347024699,0,0.0
total,frozen,0.5,60,-50.38553751241726,51.072195965677196,0,0.0
total,frozen,1.3,60,30.686402018080322,31.950150424924686,0,0.0
total,frozen,2.0,60,102.26942690936532,106.85357494773268,0,0.0
total,frozen,4.0,60,309.1764307593187,320.2494419310495,0,0.0
total,frozen,7.1,60,630.6385670280724,673.1570855038561,0,0.0
