resolution,approx_bin_count_documented,approx_bin_count_measured_median,mode,feature,gain,median_relative_difference_percent,max_abs_relative_difference_percent,pass_count,total_count
frozen_d3,80,84.0,frozen,total,0.25,-75.44333258815831,77.79158347024699,0,60
frozen_d3,80,84.0,frozen,total,0.5,-50.38553751241726,51.072195965677196,0,60
frozen_d3,80,84.0,frozen,total,1.3,30.686402018080322,31.950150424924686,0,60
frozen_d3,80,84.0,frozen,total,2.0,102.26942690936531,106.85357494773272,0,60
frozen_d3,80,84.0,frozen,total,4.0,309.1764307593187,320.2494419310495,0,60
frozen_d3,80,84.0,frozen,total,7.1,630.6385670280724,673.1570855038561,0,60
frozen_d3,80,84.0,frozen,average,0.25,-5.560977631568878,16.910686771997092,0,60
frozen_d3,80,84.0,frozen,average,0.5,-1.7075337468538068,5.241998378913907,0,60
frozen_d3,80,84.0,frozen,average,1.3,0.8755830784594525,2.70758276303494,0,60
frozen_d3,80,84.0,frozen,average,2.0,2.1196317506436113,9.475663767679745,0,60
frozen_d3,80,84.0,frozen,average,4.0,4.620403908995678,22.037589580330156,0,60
frozen_d3,80,84.0,frozen,average,7.1,6.984186243482311,31.633583426810876,0,60
frozen_d3,80,84.0,frozen,sd,0.25,-6.050119973711173,27.182177206856696,0,60
frozen_d3,80,84.0,frozen,sd,0.5,-2.164545043698528,7.784825881978892,0,60
frozen_d3,80,84.0,frozen,sd,1.3,1.4750104990918493,3.6650817703072756,0,60
frozen_d3,80,84.0,frozen,sd,2.0,3.440072877562482,9.593204674142322,0,60
frozen_d3,80,84.0,frozen,sd,4.0,7.4939160929723965,16.990409401800108,0,60
frozen_d3,80,84.0,frozen,sd,7.1,11.745891640737696,47.753412186924834,0,60
frozen_d4,800,793.0,frozen,total,0.25,-75.43235674041452,76.36830521196,0,60
frozen_d4,800,793.0,frozen,total,0.5,-50.24283666934427,51.81432754148343,0,60
frozen_d4,800,793.0,frozen,total,1.3,30.248876135463306,33.41371217764058,0,60
frozen_d4,800,793.0,frozen,total,2.0,99.9023760299608,106.97980661762858,0,60
frozen_d4,800,793.0,frozen,total,4.0,297.0106443241558,311.3326505354568,0,60
frozen_d4,800,793.0,frozen,total,7.1,604.1486821180345,629.0289188570605,0,60
frozen_d4,800,793.0,frozen,average,0.25,-4.61972534386237,18.121870537636823,0,60
frozen_d4,800,793.0,frozen,average,0.5,-2.402769375638012,9.125702842716631,0,60
frozen_d4,800,793.0,frozen,average,1.3,1.3317434072074557,7.075765289745238,0,60
frozen_d4,800,793.0,frozen,average,2.0,2.8249141456131115,8.424048347224067,0,60
frozen_d4,800,793.0,frozen,average,4.0,6.489584371321101,15.7630816362599,0,60
frozen_d4,800,793.0,frozen,average,7.1,11.21753455672457,22.91918602456644,0,60
frozen_d4,800,793.0,frozen,sd,0.25,-7.52184296379763,24.134515237229554,0,60
frozen_d4,800,793.0,frozen,sd,0.5,-3.2441386058879975,18.383097620333178,0,60
frozen_d4,800,793.0,frozen,sd,1.3,1.3278636340333805,22.822929586772418,0,60
