decision,invariance_pass,contrast,feature,n,n_women,estimate,std_error,ci_low,ci_high,p_value,q_value,frozen_estimate,frozen_q_value,model,fallback,boundary_fit,warning_summary
GO,True,fetal_movement_vs_baseline,gi_sd,4083,42,-0.2460081397964411,0.0469911139572157,-0.3381090307460015,-0.1539072488468808,1.6480137081787676e-07,2.1424178206323976e-06,-0.2087445358058103,0.0001938337699799,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gi_kurtosis,4083,42,0.0784014420117764,0.0564677852208641,-0.0322733833078603,0.1890762673314132,0.1650068202460919,0.1950080602908359,0.1836139408440729,0.0046835307686826,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gi_skewness,4083,42,0.1142986499041067,0.0548636512477874,0.0067678693980774,0.2218294304101361,0.0372218856117008,0.0483884512952111,0.2191883267433636,0.0004492762352163,woman_only,True,False,woman_only_clean
GO,True,fetal_movement_vs_baseline,gi_average,4083,42,-0.2234504282592505,0.0484189443920777,-0.3183498154371705,-0.1285510410813305,3.93212609614914e-06,1.0223527849987764e-05,-0.2075902906935097,0.0003548505016509,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gi_median,4083,42,-0.1788532568218967,0.0526232400475741,-0.2819929120649479,-0.0757136015788454,0.0006769447069247,0.0011000351487526,-0.1536475523233914,0.0154643671342472,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gi_total,4083,42,-0.2003402014556183,0.0446315014365416,-0.2878163368471877,-0.112864066064049,7.163817472615768e-06,1.5312457361651835e-05,0.0776619876173954,0.4591366191987612,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gi_fixed_r_sampen,4083,42,-0.237631413656348,0.0490824329310122,-0.3338312144747348,-0.1414316128379612,1.2887834116437676e-06,4.1885460878422445e-06,-0.2376314136563478,4.3818635995888434e-05,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gigrid_auc,4083,42,-0.2004188454196755,0.0449498914262051,-0.2885190137240234,-0.1123186771153276,8.245169348581756e-06,1.5312457361651835e-05,,,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gigrid_slope,4083,42,0.2187406139139647,0.0451772110587659,0.1301949073168189,0.3072863205111105,1.2864539337935055e-06,4.1885460878422445e-06,,,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gigrid_centroid,4083,42,0.1761211799415178,0.0538629764545472,0.0705516859904761,0.2816906738925594,0.0010762341027609,0.0015545603706546,,,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gigrid_sd,4083,42,-0.2246025328198496,0.0447360756504456,-0.3122836299043824,-0.1369214357353168,5.150678062726268e-07,3.347940740772074e-06,,,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gigrid_kurtosis,4083,42,-0.012722863386318,0.0545963929214614,-0.11972982719818,0.0942841004255438,0.8157343278615711,0.8157343278615711,,,woman_recording,False,False,woman_recording_clean
GO,True,fetal_movement_vs_baseline,gigrid_skewness,4083,42,0.0321528402007623,0.0551879751080145,-0.0760136033906391,0.1403192837921637,0.5601586291212359,0.6068385148813389,,,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gi_sd,4083,42,-0.1398387006926741,0.048549324307332,-0.2349936278087999,-0.0446837735765484,0.0039724289191652,0.0258207879745741,-0.0411946623860907,0.506084919201963,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gi_kurtosis,4083,42,-0.0411568567976861,0.058602309383282,-0.1560152725997926,0.0737015590044203,0.4824872531709014,0.5907652431543989,0.0831146834131336,0.2648772459389429,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gi_skewness,4083,42,0.0019550013610625,0.0571108464946584,-0.1099802008950634,0.1138902036171886,0.9726923884432268,0.9726923884432268,0.0772452226457857,0.2725334047455368,woman_only,True,False,woman_only_clean
GO,True,contraction_vs_baseline,gi_average,4083,42,-0.1137537076166,0.0500263893082136,-0.2118036289372784,-0.0157037862959217,0.0229735613712892,0.0372684474035472,-0.060173117688269,0.3301666148531219,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gi_median,4083,42,-0.1263660333924161,0.0543854584943237,-0.2329595733239887,-0.0197724934608436,0.0201509061085964,0.0372684474035472,-0.0734805427431043,0.2806283147538194,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gi_total,4083,42,-0.1130548160197681,0.0460932312298744,-0.203395889161399,-0.0227137428781373,0.0141771880057338,0.0372684474035472,0.409178202443861,5.0190221252564e-11,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gi_fixed_r_sampen,4083,42,-0.1154260299912786,0.0507232907894265,-0.2148418531159069,-0.0160102068666502,0.022869832050813,0.0372684474035472,-0.1154260299912785,0.055810084658905,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gigrid_auc,4083,42,-0.1034895267262105,0.0464247120391243,-0.1944802903155373,-0.0124987631368837,0.0258012328178404,0.0372684474035472,,,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gigrid_slope,4083,42,0.1119397887988871,0.0466609152053469,0.0204860755107296,0.2033935020870445,0.016439671046849,0.0372684474035472,,,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gigrid_centroid,4083,42,0.1914262782127795,0.0556414544527103,0.0823710314380414,0.3004815249875176,0.0005809546366781,0.0075524102768161,,,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gigrid_sd,4083,42,-0.114013402348792,0.0462000206206681,-0.2045637788503095,-0.0234630258472746,0.0135938102787514,0.0372684474035472,,,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gigrid_kurtosis,4083,42,0.0341841742645069,0.0565228401385864,-0.0765985567110373,0.1449669052400513,0.5453217629117529,0.5907652431543989,,,woman_recording,False,False,woman_recording_clean
GO,True,contraction_vs_baseline,gigrid_skewness,4083,42,0.0366898343234515,0.0572011490547886,-0.0754223576982416,0.1488020263451447,0.5212512809785175,0.5907652431543989,,,woman_recording,False,False,woman_recording_clean
