feature,n,n_women,n_recordings,n_baseline,n_contraction,n_fetal_movement,model,optimizer,converged,fallback,boundary_fit,boundary_reason,warning_summary,contrast,term,estimate,std_error,statistic,p_value,ci_low,ci_high,q_value,validated,frozen_estimate,frozen_q_value
gi_sd,4083,42,112,3358,333,392,woman_recording,lbfgs,True,False,False,,woman_recording_clean,fetal_movement_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.fetal_movement]",-0.24600813979644118,0.04699111395721576,-5.235205533123251,1.6480137081787676e-07,-0.3381090307460015,-0.15390724884688084,2.1424178206323976e-06,True,-0.2087445358058103,0.0001938337699799
gi_sd,4083,42,112,3358,333,392,woman_recording,lbfgs,True,False,False,,woman_recording_clean,contraction_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.contraction]",-0.13983870069267418,0.048549324307332026,-2.8803428819617047,0.00397242891916526,-0.23499362780879995,-0.0446837735765484,0.025820787974574187,True,-0.0411946623860907,0.506084919201963
gi_kurtosis,4083,42,112,3358,333,392,woman_recording,lbfgs,True,False,False,,woman_recording_clean,fetal_movement_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.fetal_movement]",0.07840144201177646,0.056467785220864104,1.3884277859512746,0.16500682024609192,-0.03227338330786032,0.18907626733141325,0.19500806029083592,False,0.1836139408440729,0.0046835307686826
gi_kurtosis,4083,42,112,3358,333,392,woman_recording,lbfgs,True,False,False,,woman_recording_clean,contraction_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.contraction]",-0.04115685679768616,0.058602309383282036,-0.7023077627965856,0.48248725317090146,-0.15601527259979261,0.0737015590044203,0.5907652431543989,False,0.0831146834131336,0.2648772459389429
gi_skewness,4083,42,112,3358,333,392,woman_only,bfgs,True,True,False,,woman_only_clean,fetal_movement_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.fetal_movement]",0.11429864990410676,0.05486365124778742,2.0833219682715938,0.037221885611700846,0.006767869398077414,0.2218294304101361,0.0483884512952111,True,0.2191883267433636,0.0004492762352163
gi_skewness,4083,42,112,3358,333,392,woman_only,bfgs,True,True,False,,woman_only_clean,contraction_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.contraction]",0.001955001361062574,0.057110846494658404,0.03423169994942074,0.9726923884432269,-0.10998020089506348,0.11389020361718864,0.9726923884432269,False,0.0772452226457857,0.2725334047455368
gi_average,4083,42,112,3358,333,392,woman_recording,lbfgs,True,False,False,,woman_recording_clean,fetal_movement_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.fetal_movement]",-0.22345042825925054,0.04841894439207775,-4.614938038504847,3.93212609614914e-06,-0.31834981543717056,-0.12855104108133053,1.0223527849987764e-05,True,-0.2075902906935097,0.0003548505016509
gi_average,4083,42,112,3358,333,392,woman_recording,lbfgs,True,False,False,,woman_recording_clean,contraction_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.contraction]",-0.11375370761660006,0.05002638930821362,-2.2738740330780445,0.022973561371289256,-0.2118036289372784,-0.015703786295921743,0.037268447403547254,True,-0.060173117688269,0.3301666148531219
gi_median,4083,42,112,3358,333,392,woman_recording,lbfgs,True,False,False,,woman_recording_clean,fetal_movement_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.fetal_movement]",-0.1788532568218967,0.052623240047574175,-3.3987503745532193,0.0006769447069247169,-0.2819929120649479,-0.07571360157884548,0.0011000351487526648,True,-0.1536475523233914,0.0154643671342472
gi_median,4083,42,112,3358,333,392,woman_recording,lbfgs,True,False,False,,woman_recording_clean,contraction_vs_baseline,"C(window_class, Treatment(reference=""baseline""))[T.contraction]",-0.12636603339241617,0.05438545849432376,-2.3235261206008784,0.020150906108596472,-0.2329595733239887,-0.019772493460843643,0.037268447403547254,True,-0.0734805427431043,0.2806283147538194
