tau,coverage_fraction,selected
0.01,1.0,True
0.02,1.0,True
0.03,1.0,True
0.04,1.0,True
0.05,1.0,True
0.06,1.0,True
0.07,1.0,True
0.08,1.0,True
0.09,1.0,True
0.1,1.0,True
0.11,1.0,True
0.12,1.0,True
0.13,1.0,True
0.14,1.0,True
0.15,1.0,True
0.16,1.0,True
0.17,1.0,True
0.18,1.0,True
0.19,1.0,True
0.2,1.0,True
0.21,1.0,True
0.22,1.0,True
0.23,1.0,True
0.24,1.0,True
0.25,1.0,True
0.26,1.0,True
0.27,1.0,True
0.28,1.0,True
0.29,1.0,True
0.3,1.0,True
0.31,1.0,True
0.32,1.0,True
0.33,1.0,True
0.34,1.0,True
0.35000000000000003,1.0,True
0.36,1.0,True
0.37,1.0,True
0.38,1.0,True
0.39,1.0,True
0.4,1.0,True
0.41000000000000003,1.0,True
0.42,1.0,True
0.43,1.0,True
0.44,1.0,True
0.45,1.0,True
0.46,1.0,True
0.47000000000000003,1.0,True
0.48,1.0,True
0.49,1.0,True
0.5,1.0,True
0.51,1.0,True
0.52,1.0,True
0.53,1.0,True
0.54,1.0,True
0.55,1.0,True
0.56,1.0,True
0.5700000000000001,1.0,True
0.58,1.0,True
0.59,1.0,True
0.6,1.0,True
0.61,1.0,True
0.62,1.0,True
0.63,1.0,True
0.64,1.0,True
0.65,1.0,True
0.66,1.0,True
0.67,1.0,True
0.68,1.0,True
0.6900000000000001,1.0,True
0.7000000000000001,1.0,True
0.71,1.0,True
0.72,1.0,True
0.73,1.0,True
0.74,1.0,True
0.75,1.0,True
0.76,1.0,True
0.77,1.0,True
0.78,1.0,True
0.79,1.0,True
0.8,1.0,True
0.81,1.0,True
0.8200000000000001,1.0,True
0.8300000000000001,1.0,True
0.84,1.0,True
0.85,1.0,True
0.86,1.0,True
0.87,1.0,True
0.88,1.0,True
0.89,1.0,True
0.9,1.0,True
0.91,1.0,True
0.92,1.0,True
0.93,1.0,True
0.9400000000000001,1.0,True
0.9500000000000001,1.0,True
0.96,1.0,True
0.97,1.0,True
0.98,1.0,True
0.99,1.0,True
1.0,1.0,True
1.01,1.0,True
1.02,1.0,True
1.03,1.0,True
1.04,1.0,True
1.05,1.0,True
1.06,1.0,True
1.07,1.0,True
1.08,1.0,True
1.09,1.0,True
1.1,1.0,True
1.11,1.0,True
1.12,1.0,True
1.1300000000000001,1.0,True
1.1400000000000001,1.0,True
1.1500000000000001,1.0,True
1.16,1.0,True
1.17,1.0,True
1.18,1.0,True
1.19,1.0,True
1.2,1.0,True
1.21,1.0,True
1.22,1.0,True
1.23,1.0,True
1.24,1.0,True
1.25,1.0,True
1.26,1.0,True
1.27,1.0,True
1.28,1.0,True
1.29,1.0,True
1.3,1.0,True
1.31,1.0,True
1.32,1.0,True
1.33,1.0,True
1.34,1.0,True
1.35,1.0,True
1.36,1.0,True
1.37,1.0,True
1.3800000000000001,1.0,True
1.3900000000000001,1.0,True
1.4000000000000001,1.0,True
1.41,1.0,True
1.42,1.0,True
1.43,1.0,True
1.44,1.0,True
1.45,1.0,True
1.46,1.0,True
1.47,1.0,True
1.48,1.0,True
1.49,1.0,True
1.5,1.0,True
1.51,1.0,True
1.52,1.0,True
1.53,1.0,True
1.54,1.0,True
1.55,1.0,True
1.56,1.0,True
1.57,1.0,True
1.58,1.0,True
1.59,1.0,True
1.6,1.0,True
1.61,1.0,True
1.62,1.0,True
1.6300000000000001,1.0,True
1.6400000000000001,1.0,True
1.6500000000000001,1.0,True
1.6600000000000001,1.0,True
1.67,1.0,True
1.68,1.0,True
1.69,1.0,True
1.7,1.0,True
1.71,1.0,True
1.72,1.0,True
1.73,1.0,True
1.74,1.0,True
1.75,1.0,True
1.76,1.0,True
1.77,1.0,True
1.78,1.0,True
1.79,1.0,True
1.8,1.0,True
1.81,1.0,True
1.82,1.0,True
1.83,1.0,True
1.84,1.0,True
1.85,1.0,True
1.86,1.0,True
1.87,1.0,True
1.8800000000000001,1.0,True
1.8900000000000001,1.0,True
1.9000000000000001,1.0,True
1.9100000000000001,1.0,True
1.92,1.0,True
1.93,1.0,True
1.94,1.0,True
1.95,1.0,True
1.96,1.0,True
1.97,1.0,True
1.98,1.0,True
1.99,1.0,True
2.0,1.0,True
2.0100000000000002,1.0,True
2.02,1.0,True
2.0300000000000002,1.0,True
2.04,1.0,True
2.05,1.0,True
2.06,1.0,True
2.07,1.0,True
2.08,1.0,True
2.09,1.0,True
2.1,1.0,True
2.11,1.0,True
2.12,1.0,True
2.13,1.0,True
2.14,1.0,True
2.15,1.0,True
2.16,1.0,True
2.17,1.0,True
2.18,1.0,True
2.19,1.0,True
2.2,1.0,True
2.21,1.0,True
2.22,1.0,True
2.23,1.0,True
2.24,1.0,True
2.25,1.0,True
2.2600000000000002,1.0,True
2.27,1.0,True
2.2800000000000002,1.0,True
2.29,1.0,True
2.3000000000000003,1.0,True
2.31,1.0,True
2.32,1.0,True
2.33,1.0,True
2.34,1.0,True
2.35,1.0,True
2.36,1.0,True
2.37,1.0,True
2.38,1.0,True
2.39,1.0,True
2.4,1.0,True
2.41,1.0,True
2.42,1.0,True
2.43,1.0,True
2.44,1.0,True
2.45,1.0,True
2.46,1.0,True
2.47,1.0,True
2.48,1.0,True
2.49,1.0,True
2.5,1.0,True
2.5100000000000002,1.0,True
2.52,1.0,True
2.5300000000000002,1.0,True
2.54,1.0,True
2.5500000000000003,1.0,True
2.56,1.0,True
2.57,1.0,True
2.58,1.0,True
2.59,1.0,True
2.6,1.0,True
2.61,1.0,True
2.62,1.0,True
2.63,1.0,True
2.64,1.0,True
2.65,1.0,True
2.66,1.0,True
2.67,1.0,True
2.68,1.0,True
2.69,1.0,True
2.7,1.0,True
2.71,1.0,True
2.72,1.0,True
2.73,1.0,True
2.74,1.0,True
2.75,1.0,True
2.7600000000000002,1.0,True
2.77,1.0,True
2.7800000000000002,1.0,True
2.79,1.0,True
2.8000000000000003,1.0,True
2.81,1.0,True
2.82,1.0,True
2.83,1.0,True
2.84,1.0,True
2.85,1.0,True
2.86,1.0,True
2.87,1.0,True
2.88,1.0,True
2.89,1.0,True
2.9,1.0,True
2.91,1.0,True
2.92,1.0,True
2.93,1.0,True
2.94,1.0,True
2.95,1.0,True
2.96,1.0,True
2.97,1.0,True
2.98,1.0,True
2.99,1.0,True
3.0,1.0,True
3.0100000000000002,1.0,True
3.02,1.0,True
3.0300000000000002,1.0,True
3.04,1.0,True
3.0500000000000003,1.0,True
3.06,1.0,True
3.0700000000000003,1.0,True
3.08,1.0,True
3.09,1.0,True
3.1,1.0,True
3.11,1.0,True
3.12,1.0,True
3.13,1.0,True
3.14,1.0,True
3.15,1.0,True
3.16,1.0,True
3.17,1.0,True
3.18,1.0,True
3.19,1.0,True
3.2,1.0,True
3.21,1.0,True
3.22,1.0,True
3.23,1.0,True
3.24,1.0,True
3.25,1.0,True
3.2600000000000002,1.0,True
3.27,1.0,True
3.2800000000000002,1.0,True
3.29,1.0,True
3.3000000000000003,1.0,True
3.31,1.0,True
3.3200000000000003,1.0,True
3.33,1.0,True
3.34,1.0,True
3.35,1.0,True
3.36,1.0,True
3.37,1.0,True
3.38,1.0,True
3.39,1.0,True
3.4,1.0,True
3.41,1.0,True
3.42,1.0,True
3.43,1.0,True
3.44,1.0,True
3.45,1.0,True
3.46,1.0,True
3.47,1.0,True
3.48,1.0,True
3.49,1.0,True
3.5,1.0,True
3.5100000000000002,1.0,True
3.52,1.0,True
3.5300000000000002,1.0,True
3.54,1.0,True
3.5500000000000003,1.0,True
3.56,1.0,True
3.5700000000000003,1.0,True
3.58,1.0,True
3.59,1.0,True
3.6,1.0,True
3.61,1.0,True
3.62,1.0,True
3.63,1.0,True
3.64,1.0,True
3.65,1.0,True
3.66,1.0,True
3.67,1.0,True
3.68,1.0,True
3.69,1.0,True
3.7,1.0,True
3.71,1.0,True
3.72,1.0,True
3.73,1.0,True
3.74,1.0,True
3.75,1.0,True
3.7600000000000002,1.0,True
3.77,1.0,True
3.7800000000000002,1.0,True
3.79,1.0,True
3.8000000000000003,1.0,True
3.81,1.0,True
3.8200000000000003,1.0,True
3.83,1.0,True
3.84,1.0,True
3.85,1.0,True
3.86,1.0,True
3.87,1.0,True
3.88,1.0,True
3.89,1.0,True
3.9,1.0,True
3.91,1.0,True
3.92,1.0,True
3.93,1.0,True
3.94,1.0,True
3.95,1.0,True
3.96,1.0,True
3.97,1.0,True
3.98,1.0,True
3.99,1.0,True
4.0,1.0,True
