feature,contrast,estimate,q_value,condition,summary,n,n_women
fwh_entropy_kurtosissampen,fetal_movement_vs_baseline,0.1836139408440729,0.0046835307686826,frozen_d3,kurtosis,4083,42
frozen_d4_kurtosis,fetal_movement_vs_baseline,0.1915142506053825,0.00110522345402296,frozen_d4,kurtosis,4083,42
frozen_d5_kurtosis,fetal_movement_vs_baseline,0.1204655108210346,0.038458680005720475,frozen_d5,kurtosis,4083,42
gi_d1_kurtosis,fetal_movement_vs_baseline,0.20197049439115583,0.00039487921496128873,gi_d1,kurtosis,4083,42
gi_d2_kurtosis,fetal_movement_vs_baseline,-0.07760834217663795,0.15621601312339264,gi_d2,kurtosis,4083,42
gi_kurtosis,fetal_movement_vs_baseline,0.0784014420117764,0.1950080602908359,gi_d3,kurtosis,4083,42
fwh_entropy_sdsampen,fetal_movement_vs_baseline,-0.2087445358058103,0.0001938337699799,frozen_d3,sd,4083,42
frozen_d4_sd,fetal_movement_vs_baseline,-0.18648300657339664,0.00026928757968925623,frozen_d4,sd,4083,42
frozen_d5_sd,fetal_movement_vs_baseline,-0.2125870266006772,1.692176795113028e-05,frozen_d5,sd,4083,42
gi_d1_sd,fetal_movement_vs_baseline,-0.2393896340032826,7.5050650342924775e-06,gi_d1,sd,4083,42
gi_d2_sd,fetal_movement_vs_baseline,-0.27100335687894755,5.174792995979467e-07,gi_d2,sd,4083,42
gi_sd,fetal_movement_vs_baseline,-0.2460081397964411,2.1424178206323976e-06,gi_d3,sd,4083,42
fwh_entropy_skewnesssampen,fetal_movement_vs_baseline,0.2191883267433636,0.0004492762352163,frozen_d3,skewness,4083,42
frozen_d4_skewness,fetal_movement_vs_baseline,0.21496781074125848,0.0001967575891076851,frozen_d4,skewness,4083,42
frozen_d5_skewness,fetal_movement_vs_baseline,0.10281188257428778,0.0799307993307845,frozen_d5,skewness,4083,42
gi_d1_skewness,fetal_movement_vs_baseline,0.2108117113069717,0.0001967575891076851,gi_d1,skewness,4083,42
gi_d2_skewness,fetal_movement_vs_baseline,-0.02914564274731692,0.6045413400368611,gi_d2,skewness,4083,42
gi_skewness,fetal_movement_vs_baseline,0.1142986499041067,0.0483884512952111,gi_d3,skewness,4083,42
fwh_entropy_totalsampen,fetal_movement_vs_baseline,0.0776619876173954,0.4591366191987612,frozen_d3,total,4083,42
frozen_d4_total,fetal_movement_vs_baseline,0.09759346066296382,0.08758645630981367,frozen_d4,total,4083,42
frozen_d5_total,fetal_movement_vs_baseline,0.1540537465370014,0.0034898373272272895,frozen_d5,total,4083,42
gi_d1_total,fetal_movement_vs_baseline,-0.19707477161456652,3.552586705676792e-05,gi_d1,total,4083,42
gi_d2_total,fetal_movement_vs_baseline,-0.21088211023299616,1.3693122409660036e-05,gi_d2,total,4083,42
gi_total,fetal_movement_vs_baseline,-0.2003402014556183,1.5312457361651835e-05,gi_d3,total,4083,42
